 ,,,,,,,,,,,,,,,,,,,,,,,,,
"     Long-Term Trend Mathematics, Age 9, Disability status of student, including those with 504 plan",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
     Data Table 1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"     Average scale scores for age 9 long-term trend mathematics, by disability status of student, including those with 504 plan [IEP] and jurisdiction: 2022, 2020, 2012, 2008, 2004, 1999, 1996, 1994, 1992, 1990, 1986, 1982, and 1978",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jurisdiction,"Disability status of student, including those with 504 plan",Average scale score,,,,,,,,,,,,,,,,,,,,,,
2022,National,Identified as students with disabilities,206,,,,,,,,,,,,,,,,,,,,,,
2022,National,Not identified as students with disabilities,238,,,,,,,,,,,,,,,,,,,,,,
2020,National,Identified as students with disabilities,215,,,,,,,,,,,,,,,,,,,,,,
2020,National,Not identified as students with disabilities,245,,,,,,,,,,,,,,,,,,,,,,
2012,National,Identified as students with disabilities,216,,,,,,,,,,,,,,,,,,,,,,
2012,National,Not identified as students with disabilities,247,,,,,,,,,,,,,,,,,,,,,,
2008,National,Identified as students with disabilities,214,,,,,,,,,,,,,,,,,,,,,,
2008,National,Not identified as students with disabilities,246,,,,,,,,,,,,,,,,,,,,,,
2004,National,Identified as students with disabilities,209,,,,,,,,,,,,,,,,,,,,,,
2004,National,Not identified as students with disabilities,243,,,,,,,,,,,,,,,,,,,,,,
2004¹,National,Identified as students with disabilities,‡,,,,,,,,,,,,,,,,,,,,,,
2004¹,National,Not identified as students with disabilities,‡,,,,,,,,,,,,,,,,,,,,,,
1999¹,National,Identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1999¹,National,Not identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1996¹,National,Identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1996¹,National,Not identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1994¹,National,Identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1994¹,National,Not identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1992¹,National,Identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1992¹,National,Not identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1990¹,National,Identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1990¹,National,Not identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1986¹,National,Identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1986¹,National,Not identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1982¹,National,Identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1982¹,National,Not identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1978¹,National,Identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
1978¹,National,Not identified as students with disabilities,—,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
— Not available.,,,,,,,,,,,,,,,,,,,,,,,,,
‡ Reporting standards not met.,,,,,,,,,,,,,,,,,,,,,,,,,
¹  Original assessment format.,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 1978, 1982, 1986, 1990, 1992, 1994, 1996, 1999, 2004, 2008, 2012, 2020, and 2022 Long-Term Trend Mathematics Assessments.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
