 ,,,,,,,,,,,,,,,,,,,,,,,,,
"     Long-Term Trend Mathematics, Age 9, Race ethnicity 6 categories",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
     Data Table 1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"     Average scale scores for age 9 long-term trend mathematics, by race/ethnicity 6 categories [RACE] and jurisdiction: 2022, 2020, 2012, 2008, 2004, 1999, 1996, 1994, 1992, 1990, 1986, 1982, and 1978",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jurisdiction,Race/ethnicity (6 categories),Average scale score,,,,,,,,,,,,,,,,,,,,,,
2022,National,White (not Hispanic),244,,,,,,,,,,,,,,,,,,,,,,
2022,National,Black (not Hispanic),212,,,,,,,,,,,,,,,,,,,,,,
2022,National,Hispanic,223,,,,,,,,,,,,,,,,,,,,,,
2022,National,Asian American or Pacific Islander,257,,,,,,,,,,,,,,,,,,,,,,
2022,National,American Indian or Alaska Native,230,,,,,,,,,,,,,,,,,,,,,,
2022,National,Unclassified,236,,,,,,,,,,,,,,,,,,,,,,
2020,National,White (not Hispanic),250,,,,,,,,,,,,,,,,,,,,,,
2020,National,Black (not Hispanic),225,,,,,,,,,,,,,,,,,,,,,,
2020,National,Hispanic,232,,,,,,,,,,,,,,,,,,,,,,
2020,National,Asian American or Pacific Islander,263,,,,,,,,,,,,,,,,,,,,,,
2020,National,American Indian or Alaska Native,232,,,,,,,,,,,,,,,,,,,,,,
2020,National,Unclassified,244,,,,,,,,,,,,,,,,,,,,,,
2012,National,White (not Hispanic),252,,,,,,,,,,,,,,,,,,,,,,
2012,National,Black (not Hispanic),226,,,,,,,,,,,,,,,,,,,,,,
2012,National,Hispanic,234,,,,,,,,,,,,,,,,,,,,,,
2012,National,Asian American or Pacific Islander,265,,,,,,,,,,,,,,,,,,,,,,
2012,National,American Indian or Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
2012,National,Unclassified,242,,,,,,,,,,,,,,,,,,,,,,
2008,National,White (not Hispanic),250,,,,,,,,,,,,,,,,,,,,,,
2008,National,Black (not Hispanic),224,,,,,,,,,,,,,,,,,,,,,,
2008,National,Hispanic,234,,,,,,,,,,,,,,,,,,,,,,
2008,National,Asian American or Pacific Islander,265,,,,,,,,,,,,,,,,,,,,,,
2008,National,American Indian or Alaska Native,237,,,,,,,,,,,,,,,,,,,,,,
2008,National,Unclassified,246,,,,,,,,,,,,,,,,,,,,,,
2004,National,White (not Hispanic),245,,,,,,,,,,,,,,,,,,,,,,
2004,National,Black (not Hispanic),221,,,,,,,,,,,,,,,,,,,,,,
2004,National,Hispanic,229,,,,,,,,,,,,,,,,,,,,,,
2004,National,Asian American or Pacific Islander,263,,,,,,,,,,,,,,,,,,,,,,
2004,National,American Indian or Alaska Native,224,,,,,,,,,,,,,,,,,,,,,,
2004,National,Unclassified,233,,,,,,,,,,,,,,,,,,,,,,
2004¹,National,White (not Hispanic),247,,,,,,,,,,,,,,,,,,,,,,
2004¹,National,Black (not Hispanic),224,,,,,,,,,,,,,,,,,,,,,,
2004¹,National,Hispanic,230,,,,,,,,,,,,,,,,,,,,,,
2004¹,National,Asian American or Pacific Islander,262,,,,,,,,,,,,,,,,,,,,,,
2004¹,National,American Indian or Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
2004¹,National,Unclassified,244,,,,,,,,,,,,,,,,,,,,,,
1999¹,National,White (not Hispanic),239,,,,,,,,,,,,,,,,,,,,,,
1999¹,National,Black (not Hispanic),211,,,,,,,,,,,,,,,,,,,,,,
1999¹,National,Hispanic,213,,,,,,,,,,,,,,,,,,,,,,
1999¹,National,Asian American or Pacific Islander,245,,,,,,,,,,,,,,,,,,,,,,
1999¹,National,American Indian or Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
1999¹,National,Unclassified,‡,,,,,,,,,,,,,,,,,,,,,,
1996¹,National,White (not Hispanic),237,,,,,,,,,,,,,,,,,,,,,,
1996¹,National,Black (not Hispanic),212,,,,,,,,,,,,,,,,,,,,,,
1996¹,National,Hispanic,215,,,,,,,,,,,,,,,,,,,,,,
1996¹,National,Asian American or Pacific Islander,235,,,,,,,,,,,,,,,,,,,,,,
1996¹,National,American Indian or Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
1996¹,National,Unclassified,‡,,,,,,,,,,,,,,,,,,,,,,
1994¹,National,White (not Hispanic),237,,,,,,,,,,,,,,,,,,,,,,
1994¹,National,Black (not Hispanic),212,,,,,,,,,,,,,,,,,,,,,,
1994¹,National,Hispanic,210,,,,,,,,,,,,,,,,,,,,,,
1994¹,National,Asian American or Pacific Islander,234,,,,,,,,,,,,,,,,,,,,,,
1994¹,National,American Indian or Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
1994¹,National,Unclassified,‡,,,,,,,,,,,,,,,,,,,,,,
1992¹,National,White (not Hispanic),235,,,,,,,,,,,,,,,,,,,,,,
1992¹,National,Black (not Hispanic),208,,,,,,,,,,,,,,,,,,,,,,
1992¹,National,Hispanic,212,,,,,,,,,,,,,,,,,,,,,,
1992¹,National,Asian American or Pacific Islander,243,,,,,,,,,,,,,,,,,,,,,,
1992¹,National,American Indian or Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
1992¹,National,Unclassified,‡,,,,,,,,,,,,,,,,,,,,,,
1990¹,National,White (not Hispanic),235,,,,,,,,,,,,,,,,,,,,,,
1990¹,National,Black (not Hispanic),208,,,,,,,,,,,,,,,,,,,,,,
1990¹,National,Hispanic,214,,,,,,,,,,,,,,,,,,,,,,
1990¹,National,Asian American or Pacific Islander,236,,,,,,,,,,,,,,,,,,,,,,
1990¹,National,American Indian or Alaska Native,‡,,,,,,,,,,,,,,,,,,,,,,
1990¹,National,Unclassified,‡,,,,,,,,,,,,,,,,,,,,,,
1986¹,National,White (not Hispanic),227,,,,,,,,,,,,,,,,,,,,,,
1986¹,National,Black (not Hispanic),202,,,,,,,,,,,,,,,,,,,,,,
1986¹,National,Hispanic,205,,,,,,,,,,,,,,,,,,,,,,
1986¹,National,Asian American or Pacific Islander,235,,,,,,,,,,,,,,,,,,,,,,
1986¹,National,American Indian or Alaska Native,205,,,,,,,,,,,,,,,,,,,,,,
1986¹,National,Unclassified,‡,,,,,,,,,,,,,,,,,,,,,,
1982¹,National,White (not Hispanic),224,,,,,,,,,,,,,,,,,,,,,,
1982¹,National,Black (not Hispanic),195,,,,,,,,,,,,,,,,,,,,,,
1982¹,National,Hispanic,204,,,,,,,,,,,,,,,,,,,,,,
1982¹,National,Asian American or Pacific Islander,242,,,,,,,,,,,,,,,,,,,,,,
