 ,,,
"     Long-Term Trend Reading, Age 9, All students",,,
,,,
     Data Table 1,,,
,,,
"     Average scale scores for age 9 long-term trend reading, by all students [TOTAL] and jurisdiction: 2022, 2020, 2012, 2008, 2004, 1999, 1996, 1994, 1992, 1990, 1988, 1984, 1980, 1975, and 1971",,,
,,,
,,,
Year,Jurisdiction,All students,Average scale score
2022,National,All students,215
2020,National,All students,220
2012,National,All students,221
2008,National,All students,220
2004,National,All students,216
2004¹,National,All students,219
1999¹,National,All students,212
1996¹,National,All students,212
1994¹,National,All students,211
1992¹,National,All students,211
1990¹,National,All students,209
1988¹,National,All students,212
1984¹,National,All students,211
1980¹,National,All students,215
1975¹,National,All students,210
1971¹,National,All students,208
,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 1971, 1975, 1980, 1984, 1988, 1990, 1992, 1994, 1996, 1999, 2004, 2008, 2012, 2020, and 2022 Long-Term Trend Reading Assessments.",,,
