 ,,,
"     Long-Term Trend Reading, Age 9, Disability status of student, including those with 504 plan",,,
,,,
     Data Table 1,,,
,,,
"     Average scale scores for age 9 long-term trend reading, by disability status of student, including those with 504 plan [IEP] and jurisdiction: 2022, 2020, 2012, 2008, and 2004",,,
,,,
,,,
Year,Jurisdiction,"Disability status of student, including those with 504 plan",Average scale score
2022,National,Identified as students with disabilities,180
2022,National,Not identified as students with disabilities,220
2020,National,Identified as students with disabilities,187
2020,National,Not identified as students with disabilities,225
2012,National,Identified as students with disabilities,183
2012,National,Not identified as students with disabilities,225
2008,National,Identified as students with disabilities,182
2008,National,Not identified as students with disabilities,224
2004,National,Identified as students with disabilities,178
2004,National,Not identified as students with disabilities,219
2004¹,National,Identified as students with disabilities,‡
2004¹,National,Not identified as students with disabilities,‡
,,,
‡ Reporting standards not met.,,,
¹  Original assessment format.,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2004, 2008, 2012, 2020, and 2022 Long-Term Trend Reading Assessments.",,,
