 ,,,
"     Long-Term Trend Reading, Age 9, Status as English learner, 2 categories",,,
,,,
     Data Table 1,,,
,,,
"     Average scale scores for age 9 long-term trend reading, by status as English learner, 2 categories [LEP] and jurisdiction: 2022, 2020, 2012, 2008, 2004, 1999, 1996, 1994, 1992, 1990, 1988, 1984, 1980, 1975, and 1971",,,
,,,
,,,
Year,Jurisdiction,"Status as English learner, 2 categories",Average scale score
2022,National,EL,191
2022,National,Not EL,218
2020,National,EL,193
2020,National,Not EL,223
2012,National,EL,191
2012,National,Not EL,225
2008,National,EL,193
2008,National,Not EL,223
2004,National,EL,187
2004,National,Not EL,218
2004¹,National,EL,‡
2004¹,National,Not EL,‡
1999¹,National,EL,—
1999¹,National,Not EL,—
1996¹,National,EL,—
1996¹,National,Not EL,—
1994¹,National,EL,—
1994¹,National,Not EL,—
1992¹,National,EL,—
1992¹,National,Not EL,—
1990¹,National,EL,—
1990¹,National,Not EL,—
1988¹,National,EL,—
1988¹,National,Not EL,—
1984¹,National,EL,—
1984¹,National,Not EL,—
1980¹,National,EL,—
1980¹,National,Not EL,—
1975¹,National,EL,—
1975¹,National,Not EL,—
1971¹,National,EL,—
1971¹,National,Not EL,—
,,,
— Not available.,,,
‡ Reporting standards not met.,,,
¹  Original assessment format.,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 1971, 1975, 1980, 1984, 1988, 1990, 1992, 1994, 1996, 1999, 2004, 2008, 2012, 2020, and 2022 Long-Term Trend Reading Assessments.",,,
