 ,,,
"     Long-Term Trend Reading, Age 9, National School Lunch Program eligibility, 3 categories",,,
,,,
     Data Table 1,,,
,,,
"     Average scale scores for age 9 long-term trend reading, by National School Lunch Program eligibility, 3 categories [SLUNCH3] and jurisdiction: 2022, 2020, 2012, 2008, 2004, 1999, 1996, 1994, 1992, 1990, 1988, 1984, 1980, 1975, and 1971",,,
,,,
,,,
Year,Jurisdiction,"National School Lunch Program eligibility, 3 categories",Average scale score
2022,National,Eligible,200
2022,National,Not eligible,229
2022,National,Information not available,228
2020,National,Eligible,207
2020,National,Not eligible,232
2020,National,Information not available,231
2012,National,Eligible,207
2012,National,Not eligible,235
2012,National,Information not available,237
2008,National,Eligible,204
2008,National,Not eligible,230
2008,National,Information not available,237
2004,National,Eligible,199
2004,National,Not eligible,227
2004,National,Information not available,227
2004¹,National,Eligible,205
2004¹,National,Not eligible,227
2004¹,National,Information not available,229
1999¹,National,Eligible,—
1999¹,National,Not eligible,—
1999¹,National,Information not available,—
1996¹,National,Eligible,—
1996¹,National,Not eligible,—
1996¹,National,Information not available,—
1994¹,National,Eligible,—
1994¹,National,Not eligible,—
1994¹,National,Information not available,—
1992¹,National,Eligible,—
1992¹,National,Not eligible,—
1992¹,National,Information not available,—
1990¹,National,Eligible,—
1990¹,National,Not eligible,—
1990¹,National,Information not available,—
1988¹,National,Eligible,—
1988¹,National,Not eligible,—
1988¹,National,Information not available,—
1984¹,National,Eligible,—
1984¹,National,Not eligible,—
1984¹,National,Information not available,—
1980¹,National,Eligible,—
1980¹,National,Not eligible,—
1980¹,National,Information not available,—
1975¹,National,Eligible,—
1975¹,National,Not eligible,—
1975¹,National,Information not available,—
1971¹,National,Eligible,—
1971¹,National,Not eligible,—
1971¹,National,Information not available,—
,,,
— Not available.,,,
¹  Original assessment format.,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 1971, 1975, 1980, 1984, 1988, 1990, 1992, 1994, 1996, 1999, 2004, 2008, 2012, 2020, and 2022 Long-Term Trend Reading Assessments.",,,
