 ,,,
"     Long-Term Trend Reading, Age 9, Race ethnicity 6 categories",,,
,,,
     Data Table 1,,,
,,,
"     Average scale scores for age 9 long-term trend reading, by race/ethnicity 6 categories [RACE] and jurisdiction: 2022, 2020, 2012, 2008, 2004, 1999, 1996, 1994, 1992, 1990, 1988, 1984, 1980, 1975, and 1971",,,
,,,
,,,
Year,Jurisdiction,Race/ethnicity (6 categories),Average scale score
2022,National,White (not Hispanic),223
2022,National,Black (not Hispanic),199
2022,National,Hispanic,204
2022,National,Asian American or Pacific Islander,238
2022,National,American Indian or Alaska Native,207
2022,National,Unclassified,216
2020,National,White (not Hispanic),228
2020,National,Black (not Hispanic),205
2020,National,Hispanic,210
2020,National,Asian American or Pacific Islander,237
2020,National,American Indian or Alaska Native,208
2020,National,Unclassified,224
2012,National,White (not Hispanic),229
2012,National,Black (not Hispanic),206
2012,National,Hispanic,208
2012,National,Asian American or Pacific Islander,240
2012,National,American Indian or Alaska Native,196
2012,National,Unclassified,219
2008,National,White (not Hispanic),228
2008,National,Black (not Hispanic),204
2008,National,Hispanic,207
2008,National,Asian American or Pacific Islander,235
2008,National,American Indian or Alaska Native,212
2008,National,Unclassified,232
2004,National,White (not Hispanic),224
2004,National,Black (not Hispanic),197
2004,National,Hispanic,199
2004,National,Asian American or Pacific Islander,231
2004,National,American Indian or Alaska Native,205
2004,National,Unclassified,216
2004¹,National,White (not Hispanic),226
2004¹,National,Black (not Hispanic),200
2004¹,National,Hispanic,205
2004¹,National,Asian American or Pacific Islander,234
2004¹,National,American Indian or Alaska Native,‡
2004¹,National,Unclassified,224
1999¹,National,White (not Hispanic),221
1999¹,National,Black (not Hispanic),186
1999¹,National,Hispanic,193
1999¹,National,Asian American or Pacific Islander,218
1999¹,National,American Indian or Alaska Native,‡
1999¹,National,Unclassified,‡
1996¹,National,White (not Hispanic),220
1996¹,National,Black (not Hispanic),191
1996¹,National,Hispanic,195
1996¹,National,Asian American or Pacific Islander,216
1996¹,National,American Indian or Alaska Native,‡
1996¹,National,Unclassified,‡
1994¹,National,White (not Hispanic),218
1994¹,National,Black (not Hispanic),185
1994¹,National,Hispanic,186
1994¹,National,Asian American or Pacific Islander,213
1994¹,National,American Indian or Alaska Native,‡
1994¹,National,Unclassified,‡
1992¹,National,White (not Hispanic),218
1992¹,National,Black (not Hispanic),185
1992¹,National,Hispanic,192
1992¹,National,Asian American or Pacific Islander,212
1992¹,National,American Indian or Alaska Native,‡
1992¹,National,Unclassified,‡
1990¹,National,White (not Hispanic),217
1990¹,National,Black (not Hispanic),182
1990¹,National,Hispanic,189
1990¹,National,Asian American or Pacific Islander,207
1990¹,National,American Indian or Alaska Native,‡
1990¹,National,Unclassified,‡
1988¹,National,White (not Hispanic),218
1988¹,National,Black (not Hispanic),189
1988¹,National,Hispanic,194
1988¹,National,Asian American or Pacific Islander,234
1988¹,National,American Indian or Alaska Native,‡
1988¹,National,Unclassified,‡
1984¹,National,White (not Hispanic),218
1984¹,National,Black (not Hispanic),186
1984¹,National,Hispanic,187
1984¹,National,Asian American or Pacific Islander,223
1984¹,National,American Indian or Alaska Native,206
1984¹,National,Unclassified,‡
1980¹,National,White (not Hispanic),221
1980¹,National,Black (not Hispanic),189
1980¹,National,Hispanic,190
1980¹,National,Asian American or Pacific Islander,225
1980¹,National,American Indian or Alaska Native,198
1980¹,National,Unclassified,‡
1975¹,National,White (not Hispanic),—
1975¹,National,Black (not Hispanic),—
1975¹,National,Hispanic,—
1975¹,National,Asian American or Pacific Islander,—
1975¹,National,American Indian or Alaska Native,—
1975¹,National,Unclassified,—
1971¹,National,White (not Hispanic),—
1971¹,National,Black (not Hispanic),—
1971¹,National,Hispanic,—
1971¹,National,Asian American or Pacific Islander,—
1971¹,National,American Indian or Alaska Native,—
1971¹,National,Unclassified,—
,,,
— Not available.,,,
‡ Reporting standards not met.,,,
¹  Original assessment format.,,,
"NOTE:  Black includes African American, Hispanic includes Latino, and Pacific Islander includes Native Hawaiian. Race categories exclude Hispanic origin.  Some apparent differences between estimates may not be statistically significant.",,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 1971, 1975, 1980, 1984, 1988, 1990, 1992, 1994, 1996, 1999, 2004, 2008, 2012, 2020, and 2022 Long-Term Trend Reading Assessments.",,,
